latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.54833,13.407822,38.0,32400,Asia/Tokyo,GMT+9

time,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),cloud_cover (%),cloud_cover_low (%),cloud_cover_mid (%),cloud_cover_high (%),vapour_pressure_deficit (kPa),wind_speed_10m (km/h),wind_gusts_10m (km/h),soil_moisture_0_to_7cm (m³/m³),soil_moisture_7_to_28cm (m³/m³)
2020-01-01T00:00,5.7,82,0.00,28,28,0,0,0.16,18.7,33.5,0.327,0.332
2020-01-01T01:00,5.0,85,0.00,32,32,0,0,0.13,17.8,31.7,0.327,0.332
2020-01-01T02:00,4.5,87,0.00,26,26,0,0,0.11,16.5,30.6,0.327,0.332
2020-01-01T03:00,4.1,90,0.00,27,27,0,0,0.08,15.6,27.7,0.327,0.332
2020-01-01T04:00,3.7,92,0.00,17,17,0,0,0.06,14.7,26.6,0.327,0.332
2020-01-01T05:00,3.2,93,0.00,9,9,0,0,0.05,12.9,24.5,0.327,0.332
2020-01-01T06:00,2.8,94,0.00,10,10,0,0,0.04,13.1,21.6,0.327,0.332
2020-01-01T07:00,2.3,95,0.00,4,4,0,0,0.03,12.0,21.6,0.327,0.332
2020-01-01T08:00,1.6,96,0.00,2,2,0,0,0.02,11.4,19.8,0.327,0.332
2020-01-01T09:00,2.1,94,0.00,3,28,0,0,0.04,10.3,19.4,0.328,0.332
2020-01-01T10:00,1.8,95,0.00,12,12,0,0,0.03,11.2,18.7,0.328,0.332
2020-01-01T11:00,1.2,96,0.00,3,3,0,0,0.02,10.1,18.7,0.328,0.332
2020-01-01T12:00,0.4,97,0.00,5,5,0,1,0.02,9.4,16.9,0.328,0.331
2020-01-01T13:00,-0.0,97,0.00,6,6,0,0,0.02,9.4,15.8,0.328,0.331
2020-01-01T14:00,-0.3,97,0.00,6,6,0,0,0.02,10.5,17.6,0.328,0.331
2020-01-01T15:00,-0.6,97,0.00,1,1,0,0,0.02,9.5,18.0,0.328,0.331
2020-01-01T16:00,-1.0,97,0.00,2,2,0,0,0.02,7.7,16.2,0.328,0.331
2020-01-01T17:00,-0.4,96,0.00,26,26,0,0,0.02,9.4,15.1,0.328,0.331
2020-01-01T18:00,1.2,93,0.00,58,58,0,0,0.05,11.2,18.7,0.328,0.331
2020-01-01T19:00,2.6,89,0.00,54,54,0,0,0.08,8.2,18.4,0.328,0.331
2020-01-01T20:00,3.6,87,0.00,38,38,0,0,0.11,8.9,17.3,0.328,0.331
2020-01-01T21:00,4.0,81,0.00,29,45,0,0,0.15,11.5,22.0,0.325,0.330
2020-01-01T22:00,4.1,75,0.00,44,30,0,19,0.20,12.3,22.7,0.325,0.329
2020-01-01T23:00,3.6,79,0.00,56,29,0,38,0.17,9.2,21.6,0.325,0.329
2020-01-02T00:00,2.1,89,0.00,33,21,0,16,0.07,8.2,15.5,0.325,0.329
2020-01-02T01:00,0.8,93,0.00,16,5,0,12,0.05,7.7,13.7,0.325,0.329
2020-01-02T02:00,0.2,95,0.00,1,1,0,0,0.03,8.1,13.0,0.325,0.329
2020-01-02T03:00,0.1,95,0.00,0,0,0,0,0.03,9.9,15.8,0.325,0.329
2020-01-02T04:00,-0.3,94,0.00,0,0,0,0,0.04,10.2,16.6,0.325,0.329
2020-01-02T05:00,-0.5,93,0.00,0,0,0,0,0.04,10.9,18.0,0.325,0.329
2020-01-02T06:00,-0.8,92,0.00,0,0,0,0,0.05,10.0,18.0,0.325,0.329
2020-01-02T07:00,-2.1,92,0.00,0,0,0,0,0.04,8.4,16.2,0.325,0.329
2020-01-02T08:00,-2.9,92,0.00,0,0,0,0,0.04,9.2,13.3,0.325,0.328
2020-01-02T09:00,-1.7,89,0.00,0,0,0,0,0.06,7.8,12.6,0.324,0.328
2020-01-02T10:00,-3.2,91,0.00,0,0,0,0,0.04,8.7,12.6,0.324,0.328
2020-01-02T11:00,-3.4,91,0.00,0,0,0,0,0.04,8.4,12.2,0.324,0.328
2020-01-02T12:00,-3.1,90,0.00,0,0,0,0,0.05,7.0,11.9,0.324,0.328
2020-01-02T13:00,-2.4,88,0.00,0,0,0,0,0.06,9.9,15.8,0.324,0.328
2020-01-02T14:00,-2.5,87,0.00,0,0,0,0,0.07,9.4,17.3,0.324,0.328
2020-01-02T15:00,-3.7,89,0.00,0,0,0,0,0.05,8.9,15.5,0.324,0.328
2020-01-02T16:00,-3.2,88,0.00,0,0,0,0,0.06,7.0,12.2,0.324,0.328
2020-01-02T17:00,-2.1,85,0.00,0,0,0,0,0.08,8.4,13.3,0.324,0.327
2020-01-02T18:00,0.1,74,0.00,0,0,0,0,0.16,12.0,19.1,0.324,0.327
2020-01-02T19:00,2.4,63,0.00,0,0,0,0,0.27,12.1,20.9,0.324,0.327
2020-01-02T20:00,4.1,53,0.00,0,0,0,0,0.38,12.0,22.3,0.324,0.327
2020-01-02T21:00,5.0,55,0.00,0,0,0,0,0.39,13.8,22.3,0.324,0.327
2020-01-02T22:00,5.3,53,0.00,0,0,0,0,0.42,14.0,24.5,0.324,0.327
2020-01-02T23:00,3.9,57,0.00,0,0,0,0,0.35,10.5,23.0,0.324,0.327
2020-01-03T00:00,1.2,69,0.00,0,0,0,0,0.21,10.3,17.3,0.324,0.327
2020-01-03T01:00,0.7,71,0.00,0,0,0,0,0.19,11.3,18.4,0.324,0.327
2020-01-03T02:00,0.3,75,0.00,1,1,0,0,0.16,11.5,19.1,0.324,0.327
2020-01-03T03:00,-0.2,83,0.00,1,1,0,0,0.10,13.1,21.6,0.324,0.327
2020-01-03T04:00,-0.9,88,0.00,2,2,0,0,0.07,12.4,22.0,0.324,0.327
2020-01-03T05:00,-1.2,90,0.00,16,16,0,0,0.06,11.8,20.5,0.324,0.326
2020-01-03T06:00,-1.3,91,0.00,28,28,0,0,0.05,12.0,20.5,0.324,0.326
2020-01-03T07:00,-1.4,92,0.00,80,80,0,0,0.05,10.5,20.5,0.324,0.326
2020-01-03T08:00,-0.6,93,0.00,100,100,0,0,0.04,12.4,20.9,0.323,0.326
2020-01-03T09:00,1.1,91,0.00,99,100,0,0,0.06,14.7,25.9,0.323,0.326
2020-01-03T10:00,2.2,91,0.00,100,100,0,0,0.06,17.3,28.8,0.323,0.326
2020-01-03T11:00,2.2,92,0.00,100,100,0,0,0.06,17.9,30.2,0.323,0.326
2020-01-03T12:00,2.0,93,0.00,69,69,0,0,0.05,18.1,30.2,0.323,0.326
2020-01-03T13:00,1.9,94,0.00,36,36,1,0,0.04,18.0,30.6,0.323,0.326
2020-01-03T14:00,1.9,93,0.00,63,60,21,0,0.05,18.3,31.0,0.323,0.326
2020-01-03T15:00,2.5,91,0.00,65,63,21,0,0.06,18.9,31.7,0.323,0.326
2020-01-03T16:00,3.2,88,0.00,81,75,22,23,0.09,19.9,33.5,0.323,0.326
2020-01-03T17:00,4.2,84,0.00,99,28,86,98,0.13,21.3,36.4,0.323,0.325
2020-01-03T18:00,4.9,82,0.00,100,92,41,99,0.15,21.7,36.7,0.323,0.325
2020-01-03T19:00,5.6,81,0.00,100,93,90,98,0.18,20.1,36.7,0.323,0.325
2020-01-03T20:00,6.3,79,0.00,100,100,99,99,0.20,21.4,36.4,0.323,0.325
2020-01-03T21:00,5.6,85,0.00,100,100,88,98,0.14,20.2,38.5,0.323,0.325
2020-01-03T22:00,6.0,83,0.00,100,100,92,62,0.16,20.9,36.0,0.323,0.325
2020-01-03T23:00,6.2,83,0.00,100,100,100,3,0.16,20.4,36.0,0.323,0.325
2020-01-04T00:00,6.3,86,0.20,100,100,100,11,0.14,20.6,35.6,0.325,0.325
2020-01-04T01:00,6.3,88,0.40,100,100,100,95,0.12,20.2,34.9,0.329,0.325
2020-01-04T02:00,6.2,90,0.60,100,100,91,0,0.09,21.2,35.6,0.336,0.325
2020-01-04T03:00,6.3,89,0.20,100,100,94,0,0.10,21.9,37.8,0.338,0.325
2020-01-04T04:00,6.4,90,0.50,100,100,96,97,0.10,22.6,38.2,0.344,0.325
2020-01-04T05:00,6.4,90,0.70,100,100,92,98,0.10,22.7,40.0,0.353,0.325
2020-01-04T06:00,6.4,90,0.60,100,100,100,89,0.09,22.1,39.2,0.360,0.325
2020-01-04T07:00,6.3,93,0.50,100,100,100,98,0.06,23.2,38.9,0.366,0.326
2020-01-04T08:00,5.1,86,0.00,89,2,88,35,0.12,20.9,42.1,0.365,0.326
2020-01-04T09:00,4.7,90,0.00,6,17,12,0,0.09,20.4,35.3,0.372,0.327
2020-01-04T10:00,3.9,92,0.00,13,13,0,0,0.07,20.4,35.3,0.370,0.327
2020-01-04T11:00,3.5,93,0.00,47,29,3,26,0.06,20.9,36.0,0.369,0.328
2020-01-04T12:00,3.4,92,0.00,43,16,1,32,0.06,22.3,37.8,0.367,0.328
2020-01-04T13:00,3.2,92,0.00,97,27,1,97,0.06,22.7,38.9,0.366,0.328
2020-01-04T14:00,3.3,91,0.00,93,25,32,91,0.07,22.1,39.2,0.365,0.329
2020-01-04T15:00,3.3,91,0.00,100,100,88,86,0.07,23.8,41.0,0.364,0.329
2020-01-04T16:00,3.6,90,0.00,100,100,89,56,0.08,25.2,43.6,0.363,0.329
2020-01-04T17:00,4.1,89,0.00,100,100,82,83,0.09,26.0,44.6,0.362,0.329
2020-01-04T18:00,4.6,87,0.10,100,100,100,33,0.11,27.2,46.8,0.361,0.330
2020-01-04T19:00,4.6,87,0.10,100,96,100,0,0.11,29.3,50.0,0.361,0.330
2020-01-04T20:00,4.6,87,0.10,100,96,100,2,0.11,32.2,55.4,0.360,0.330
2020-01-04T21:00,5.2,86,0.60,99,100,96,15,0.12,31.2,72.7,0.364,0.332
2020-01-04T22:00,5.3,90,1.80,100,100,90,58,0.09,32.0,74.2,0.385,0.332
2020-01-04T23:00,5.2,88,1.20,100,100,43,0,0.11,32.6,72.0,0.397,0.333
2020-01-05T00:00,4.9,88,0.10,31,24,21,0,0.10,27.4,55.8,0.394,0.334
2020-01-05T01:00,4.0,86,0.00,17,17,0,0,0.11,25.4,46.8,0.391,0.335
2020-01-05T02:00,3.3,85,0.00,9,9,0,0,0.12,25.4,43.9,0.388,0.336
2020-01-05T03:00,3.0,84,0.00,24,24,0,0,0.12,25.5,44.3,0.386,0.337
2020-01-05T04:00,2.9,81,0.00,28,28,0,0,0.14,25.5,43.9,0.383,0.338
2020-01-05T05:00,2.7,79,0.00,22,22,0,0,0.16,23.1,43.6,0.381,0.338
2020-01-05T06:00,2.2,79,0.00,6,6,0,0,0.15,20.7,39.2,0.379,0.339
2020-01-05T07:00,1.5,81,0.00,3,3,0,0,0.13,19.2,34.9,0.377,0.339
2020-01-05T08:00,1.0,82,0.00,3,3,0,0,0.12,19.6,33.5,0.376,0.340
2020-01-05T09:00,1.1,87,0.00,2,3,0,0,0.09,18.7,33.1,0.373,0.339
2020-01-05T10:00,0.6,90,0.00,3,3,0,0,0.07,17.2,31.7,0.372,0.339
2020-01-05T11:00,0.2,91,0.00,3,3,0,0,0.06,16.3,29.5,0.370,0.339
2020-01-05T12:00,-0.1,92,0.00,2,2,0,0,0.05,16.4,27.7,0.369,0.339
2020-01-05T13:00,-0.5,92,0.00,1,1,0,0,0.05,15.5,27.4,0.368,0.340
2020-01-05T14:00,-0.9,91,0.00,0,0,0,0,0.05,12.7,26.3,0.367,0.340
2020-01-05T15:00,-1.4,92,0.00,0,0,0,0,0.05,11.6,21.2,0.366,0.340
2020-01-05T16:00,-1.8,92,0.00,0,0,0,0,0.05,10.2,19.4,0.365,0.340
2020-01-05T17:00,-1.6,92,0.00,0,0,0,0,0.04,9.5,17.3,0.364,0.340
2020-01-05T18:00,-0.1,88,0.00,5,5,0,0,0.07,10.9,18.7,0.363,0.340
2020-01-05T19:00,1.4,83,0.00,21,21,0,0,0.11,8.7,18.4,0.363,0.341
2020-01-05T20:00,2.4,81,0.00,39,38,2,0,0.14,10.5,19.8,0.362,0.341
2020-01-05T21:00,3.5,80,0.00,57,55,43,2,0.15,10.1,20.9,0.362,0.341
2020-01-05T22:00,3.8,81,0.00,74,71,12,0,0.15,8.2,18.4,0.362,0.341
2020-01-05T23:00,3.5,86,0.00,28,18,12,6,0.11,8.4,15.5,0.361,0.341
2020-01-06T00:00,1.8,92,0.00,48,19,26,20,0.06,8.7,14.8,0.360,0.342
2020-01-06T01:00,1.4,93,0.00,88,22,9,84,0.05,10.0,16.2,0.359,0.342
2020-01-06T02:00,1.2,92,0.00,97,89,37,70,0.05,10.2,16.9,0.359,0.342
2020-01-06T03:00,1.9,88,0.00,99,98,70,54,0.08,10.2,18.4,0.358,0.342
2020-01-06T04:00,2.6,83,0.00,100,100,40,58,0.13,11.1,18.7,0.358,0.342
2020-01-06T05:00,2.8,82,0.00,95,93,32,30,0.14,12.5,20.5,0.357,0.342
2020-01-06T06:00,2.7,84,0.00,97,88,41,68,0.12,12.9,21.6,0.357,0.342
2020-01-06T07:00,3.0,85,0.00,99,73,94,71,0.11,13.8,22.7,0.356,0.342
2020-01-06T08:00,3.4,87,0.00,88,58,82,3,0.10,13.4,22.7,0.356,0.342
2020-01-06T09:00,3.4,90,0.00,48,80,73,0,0.08,14.0,23.8,0.355,0.341
2020-01-06T10:00,3.6,90,0.00,73,40,57,16,0.08,15.8,26.3,0.355,0.341
2020-01-06T11:00,3.4,89,0.00,86,79,37,33,0.08,15.9,26.6,0.354,0.341
2020-01-06T12:00,3.6,87,0.00,89,84,7,27,0.10,16.1,27.0,0.354,0.341
2020-01-06T13:00,3.7,85,0.00,90,89,0,10,0.12,15.6,27.0,0.353,0.341
2020-01-06T14:00,3.6,83,0.00,70,68,0,5,0.13,14.2,26.3,0.353,0.341
2020-01-06T15:00,3.2,86,0.00,66,65,0,1,0.11,12.2,23.8,0.353,0.341
2020-01-06T16:00,3.0,89,0.00,87,87,0,0,0.09,13.1,22.0,0.352,0.341
2020-01-06T17:00,3.4,90,0.00,99,99,0,0,0.08,14.5,24.8,0.352,0.341
2020-01-06T18:00,3.7,89,0.00,100,100,0,0,0.09,13.1,24.8,0.352,0.341
2020-01-06T19:00,4.2,87,0.00,91,91,0,0,0.10,13.6,22.7,0.352,0.341
2020-01-06T20:00,4.4,87,0.00,99,99,0,0,0.11,13.6,23.0,0.352,0.341
2020-01-06T21:00,5.1,83,0.00,100,100,0,0,0.15,10.6,22.7,0.351,0.341
2020-01-06T22:00,5.1,82,0.00,99,99,0,0,0.16,10.1,18.7,0.351,0.341
2020-01-06T23:00,5.1,82,0.00,99,99,0,0,0.16,9.9,16.9,0.351,0.341
2020-01-07T00:00,4.7,84,0.00,99,99,0,0,0.14,8.6,16.2,0.351,0.341
